"Hide and clear configuration","Konfiguráció elrejtés és törlés"
"Allowed countries (%d) for this method:","A szállítási mód az alábbi országokban (%d) lehetséges:"
"Allowed countries (%d) for customers:","Választható országok (%d) a vásárlók számára:"
"INCOMPLETE MODULE INSTALLATION","SIKERTELEN MODUL TELEPÍTÉS"
"There is conflict (<em>%s</em>).","Probléma merült fel (<em>%s</em>)."
"You will be redirected to payment page after submitting order.","A rendelés leadása után átirányítunk a fizetési oldalra."
