"Hide and clear configuration","Απόκρυψη και εκκαθάριση ρυθμίσεων"
"Extra","Επιπλέον"
"Allowed countries (%d) for this method:","Επιτρεπόμενες χώρες (%d) για αυτή τη μέθοδο:"
"Allowed countries (%d) for customers:","Επιτρεπόμενες χώρες (%d) για πελάτες:"
"INCOMPLETE MODULE INSTALLATION","ΕΛΛΙΠΉΣ ΕΓΚΑΤΆΣΤΑΣΗ ΜΟΝΆΔΑΣ"
"There is conflict (<em>%s</em>).","Υπάρχει ασυμφωνία (<em>%s</em>)."
"You will be redirected to payment page after submitting order.","Μετά την υποβολή της παραγγελίας σας θα μεταφερθείτε στη σελίδα πληρωμής."
