"Hide and clear configuration","Nascondere e cancellare la configurazione"
"Signature","Firma"
"INCOMPLETE MODULE INSTALLATION","INSTALLAZIONE INCOMPLETA DEL MODULO"
"You will be redirected to payment page after submitting order.","Inserirai i dati dopo aver effettuato l'ordine."
"Impossible to issue a refund transaction because the capture transaction does not exist.","Impossibile emettere una transazione di rimborso, poiché la transazione capture non esiste."
"Refund completed by %s (%s).","Rimborso fatto da %s (%s)."
"Payment canceled.","Pagamento cancellato."
"Payment refused.","Pagamento riufiutato."
